Region,Country,under5,cal
A,Algeria,13,3042
A,Angola,31,1927
A,Benin,23,2405
A,Botswana,20,2153
A,Burkina Faso,30,2250
A,Burundi,37,1749
A,Cameroon,14,2214
A,Central African Rep,27,1885
A,Chad,33,1913
A,Congo Dem Rep,34,1879
A,Congo Rep,21,2141
A,Cote dIvoire,24,2517
A,Egypt,9,3327
A,Eritrea,41,988
A,Ethiopia,48,804
A,Gabon,18,2511
A,Gambia The,17,2157
A,Ghana,27,2622
A,Guinea,26,2161
A,Guinea-Bissau,21,2433
A,Kenya,23,1991
A,Lesotho,21,1972
A,Libya,5,3126
A,Madagascar,34,2009
A,Malawi,30,2038
A,Mali,24,2149
A,Mauritania,23,2592
A,Mauritius,16,2943
A,Morocco,9,3157
A,Mozambique,27,1678
A,Namibia,26,2107
A,Niger,36,2136
A,Nigeria,36,2508
A,Rwanda,29,1578
A,Senegal,20,2416
A,Sierra Leone,29,2029
A,South Africa,9,2890
A,Sudan,34,2313
A,Swaziland,19,2658
A,Tanzania,27,2024
A,Togo,32,1754
A,Tunisia,9,3187
A,Uganda,18,2268
A,Zambia,28,1931
A,Zimbabwe,16,1965
CS,Belize,17,2791
CS,Costa Rica,2,2865
CS,Cuba,19,2291
CS,Dominican Rep,10,2323
CS,El Salvador,11,2577
CS,Guatemala,27,2300
CS,Haiti,28,1900
CS,Honduras,18,2359
CS,Jamaica,10,2647
CS,Mexico,16,3136
CS,Nicaragua,12,2311
CS,Panama,7,2490
CS,Trinidad and Tobago,18,2566
CS,Argentina,15,3110
CS,Bolivia,16,2192
CS,Brazil,16,2834
CS,Chile,1,2769
CS,Colombia,8,2758
CS,Ecuador,17,2436
CS,Guyana,18,2460
CS,Paraguay,4,2560
CS,Peru,11,2277
CS,Suriname,15,2556
CS,Uruguay,12,2826
CS,Venezuela,19,2442
